#Table: J/PASP/110/863/k2v.dat.gz (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------
 lambda|    nflam|  sdnflam|       fi|       fg|       fp|      fd1
 1850.0| 0.000962| 0.000000| 0.000962| 0.000000| 0.000000| 0.000000
 1855.0| 0.001101| 0.000000| 0.001101| 0.000000| 0.000000| 0.000000
 1860.0| 0.001145| 0.000000| 0.001145| 0.000000| 0.000000| 0.000000
 1865.0| 0.001056| 0.000000| 0.001056| 0.000000| 0.000000| 0.000000
 1870.0| 0.001010| 0.000000| 0.001010| 0.000000| 0.000000| 0.000000
 1875.0| 0.001110| 0.000000| 0.001110| 0.000000| 0.000000| 0.000000
 1880.0| 0.001163| 0.000000| 0.001163| 0.000000| 0.000000| 0.000000
 1885.0| 0.001229| 0.000000| 0.001229| 0.000000| 0.000000| 0.000000
 1890.0| 0.001326| 0.000000| 0.001326| 0.000000| 0.000000| 0.000000
 1895.0| 0.001333| 0.000000| 0.001333| 0.000000| 0.000000| 0.000000
 1900.0| 0.001367| 0.000000| 0.001367| 0.000000| 0.000000| 0.000000
 1905.0| 0.001232| 0.000000| 0.001232| 0.000000| 0.000000| 0.000000
 1910.0| 0.001104| 0.000000| 0.001104| 0.000000| 0.000000| 0.000000
 1915.0| 0.001189| 0.000000| 0.001189| 0.000000| 0.000000| 0.000000
 1920.0| 0.001247| 0.000000| 0.001247| 0.000000| 0.000000| 0.000000
 1925.0| 0.001217| 0.000000| 0.001217| 0.000000| 0.000000| 0.000000
 1930.0| 0.001353| 0.000000| 0.001353| 0.000000| 0.000000| 0.000000
 1935.0| 0.001284| 0.000000| 0.001284| 0.000000| 0.000000| 0.000000
 1940.0| 0.001303| 0.000000| 0.001303| 0.000000| 0.000000| 0.000000
 1945.0| 0.001398| 0.000000| 0.001398| 0.000000| 0.000000| 0.000000
 1950.0| 0.002001| 0.000000| 0.002001| 0.000000| 0.000000| 0.000000
 1955.0| 0.004247| 0.000000| 0.004247| 0.000000| 0.000000| 0.000000
 1960.0| 0.002674| 0.000000| 0.002674| 0.000000| 0.000000| 0.000000
 1965.0| 0.000392| 0.000000| 0.000392| 0.000000| 0.000000| 0.000000
 1970.0| 0.001655| 0.000000| 0.001655| 0.000000| 0.000000| 0.000000
 1975.0| 0.003958| 0.000000| 0.003958| 0.000000| 0.000000| 0.000000
 1980.0| 0.002067| 0.000000| 0.002067| 0.000000| 0.000000| 0.000000
 1985.0| 0.001950| 0.000000| 0.001950| 0.000000| 0.000000| 0.000000
 1990.0| 0.000959| 0.000000| 0.000959| 0.000000| 0.000000| 0.000000
 1995.0| 0.001280| 0.000000| 0.001280| 0.000000| 0.000000| 0.000000
 2000.0| 0.003982| 0.000000| 0.003982| 0.000000| 0.000000| 0.000000
 2005.0| 0.003552| 0.000000| 0.003552| 0.000000| 0.000000| 0.000000
 2010.0| 0.002962| 0.000000| 0.002962| 0.000000| 0.000000| 0.000000
 2015.0| 0.004446| 0.000000| 0.004446| 0.000000| 0.000000| 0.000000
 2020.0| 0.003801| 0.000000| 0.003801| 0.000000| 0.000000| 0.000000
 2025.0| 0.003302| 0.000000| 0.003302| 0.000000| 0.000000| 0.000000
 2030.0| 0.001791| 0.000000| 0.001791| 0.000000| 0.000000| 0.000000
 2035.0| 0.002258| 0.000000| 0.002258| 0.000000| 0.000000| 0.000000
 2040.0| 0.001538| 0.000000| 0.001538| 0.000000| 0.000000| 0.000000
 2045.0| 0.001461| 0.000000| 0.001461| 0.000000| 0.000000| 0.000000
 2050.0| 0.001820| 0.000000| 0.001820| 0.000000| 0.000000| 0.000000
 2055.0| 0.002708| 0.000000| 0.002708| 0.000000| 0.000000| 0.000000
 2060.0| 0.003057| 0.000000| 0.003057| 0.000000| 0.000000| 0.000000
 2065.0| 0.002930| 0.000000| 0.002930| 0.000000| 0.000000| 0.000000
 2070.0| 0.002807| 0.000000| 0.002807| 0.000000| 0.000000| 0.000000
 2075.0| 0.003715| 0.000000| 0.003715| 0.000000| 0.000000| 0.000000
 2080.0| 0.004331| 0.000000| 0.004331| 0.000000| 0.000000| 0.000000
 2085.0| 0.003183| 0.000000| 0.003183| 0.000000| 0.000000| 0.000000
 2090.0| 0.003549| 0.000000| 0.003549| 0.000000| 0.000000| 0.000000
 2095.0| 0.003680| 0.000000| 0.003680| 0.000000| 0.000000| 0.000000
 2100.0| 0.003446| 0.000000| 0.003446| 0.000000| 0.000000| 0.000000
 2105.0| 0.003436| 0.000000| 0.003436| 0.000000| 0.000000| 0.000000
 2110.0| 0.005354| 0.000000| 0.005354| 0.000000| 0.000000| 0.000000
 2115.0| 0.005224| 0.000000| 0.005224| 0.000000| 0.000000| 0.000000
 2120.0| 0.005049| 0.000000| 0.005049| 0.000000| 0.000000| 0.000000
 2125.0| 0.005878| 0.000000| 0.005878| 0.000000| 0.000000| 0.000000
 2130.0| 0.006364| 0.000000| 0.006364| 0.000000| 0.000000| 0.000000
 2135.0| 0.005535| 0.000000| 0.005535| 0.000000| 0.000000| 0.000000
 2140.0| 0.005286| 0.000000| 0.005286| 0.000000| 0.000000| 0.000000
 2145.0| 0.006559| 0.000000| 0.006559| 0.000000| 0.000000| 0.000000
 2150.0| 0.004777| 0.000000| 0.004777| 0.000000| 0.000000| 0.000000
 2155.0| 0.006118| 0.000000| 0.006118| 0.000000| 0.000000| 0.000000
 2160.0| 0.007304| 0.000000| 0.007304| 0.000000| 0.000000| 0.000000
 2165.0| 0.006268| 0.000000| 0.006268| 0.000000| 0.000000| 0.000000
 2170.0| 0.006787| 0.000000| 0.006787| 0.000000| 0.000000| 0.000000
 2175.0| 0.006845| 0.000000| 0.006845| 0.000000| 0.000000| 0.000000
 2180.0| 0.006430| 0.000000| 0.006430| 0.000000| 0.000000| 0.000000
 2185.0| 0.006320| 0.000000| 0.006320| 0.000000| 0.000000| 0.000000
 2190.0| 0.008513| 0.000000| 0.008513| 0.000000| 0.000000| 0.000000
 2195.0| 0.009732| 0.000000| 0.009732| 0.000000| 0.000000| 0.000000
 2200.0| 0.009597| 0.000000| 0.009597| 0.000000| 0.000000| 0.000000
 2205.0| 0.007502| 0.000000| 0.007502| 0.000000| 0.000000| 0.000000
 2210.0| 0.007365| 0.000000| 0.007365| 0.000000| 0.000000| 0.000000
 2215.0| 0.008373| 0.000000| 0.008373| 0.000000| 0.000000| 0.000000
 2220.0| 0.007802| 0.000000| 0.007802| 0.000000| 0.000000| 0.000000
 2225.0| 0.008950| 0.000000| 0.008950| 0.000000| 0.000000| 0.000000
 2230.0| 0.010306| 0.000000| 0.010306| 0.000000| 0.000000| 0.000000
 2235.0| 0.011831| 0.000000| 0.011831| 0.000000| 0.000000| 0.000000
 2240.0| 0.012220| 0.000000| 0.012220| 0.000000| 0.000000| 0.000000
 2245.0| 0.011011| 0.000000| 0.011011| 0.000000| 0.000000| 0.000000
 2250.0| 0.012356| 0.000000| 0.012356| 0.000000| 0.000000| 0.000000
 2255.0| 0.013505| 0.000000| 0.013505| 0.000000| 0.000000| 0.000000
 2260.0| 0.012849| 0.000000| 0.012849| 0.000000| 0.000000| 0.000000
 2265.0| 0.010809| 0.000000| 0.010809| 0.000000| 0.000000| 0.000000
 2270.0| 0.009872| 0.000000| 0.009872| 0.000000| 0.000000| 0.000000
 2275.0| 0.009411| 0.000000| 0.009411| 0.000000| 0.000000| 0.000000
 2280.0| 0.010273| 0.000000| 0.010273| 0.000000| 0.000000| 0.000000
 2285.0| 0.013038| 0.000000| 0.013038| 0.000000| 0.000000| 0.000000
 2290.0| 0.011844| 0.000000| 0.011844| 0.000000| 0.000000| 0.000000
 2295.0| 0.011186| 0.000000| 0.011186| 0.000000| 0.000000| 0.000000
 2300.0| 0.013439| 0.000000| 0.013439| 0.000000| 0.000000| 0.000000
 2305.0| 0.014512| 0.000000| 0.014512| 0.000000| 0.000000| 0.000000
 2310.0| 0.013315| 0.000000| 0.013315| 0.000000| 0.000000| 0.000000
 2315.0| 0.012085| 0.000000| 0.012085| 0.000000| 0.000000| 0.000000
 2320.0| 0.012124| 0.000000| 0.012124| 0.000000| 0.000000| 0.000000
 2325.0| 0.014760| 0.000000| 0.014760| 0.000000| 0.000000| 0.000000
 2330.0| 0.018727| 0.000000| 0.018727| 0.000000| 0.000000| 0.000000
 2335.0| 0.019397| 0.000000| 0.019397| 0.000000| 0.000000| 0.000000
 2340.0| 0.018041| 0.000000| 0.018041| 0.000000| 0.000000| 0.000000
 2345.0| 0.018520| 0.000000| 0.018520| 0.000000| 0.000000| 0.000000
 2350.0| 0.017547| 0.000000| 0.017547| 0.000000| 0.000000| 0.000000
 2355.0| 0.015235| 0.000000| 0.015235| 0.000000| 0.000000| 0.000000
 2360.0| 0.017306| 0.000000| 0.017306| 0.000000| 0.000000| 0.000000
 2365.0| 0.020385| 0.000000| 0.020385| 0.000000| 0.000000| 0.000000
 2370.0| 0.019584| 0.000000| 0.019584| 0.000000| 0.000000| 0.000000
